hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
8:55:00,03/03/2017,2017,LAZARO CARDENAS,SAN ALBERTO,Atropello,Sin Dato,1,0,1,25.656082,-100.340098
17:21:00,30/08/2017,2017,LAZARO CARDENAS,DIEGO RIVERA,Atropello,Distraccion,1,0,1,25.651841,-100.33381
21:42:00,15/09/2018,2018,LAZARO CARDENAS,LOMAS DEL MAR,Atropello,Otros,1,0,1,25.6569423,-100.3417
9:32:00,20/09/2018,2018,LAZARO CARDENAS,LOS ARCANGELES,Atropello,Distraccion,1,0,1,25.658631,-100.34351
10:36:00,10/11/2018,2018,LAZARO CARDENAS,DIEGO RIVERA,Atropello,Otros,1,0,1,25.6518414,-100.33381
18:52:00,25/12/2018,2018,LAZARO CARDENAS,JOSE MARIA ESCRIVA,Atropello,Otros,1,0,1,25.649814,-100.33016
19:36:00,08/04/2019,2019,LAZARO CARDENAS,MARIA IZQUIERDO,Atropello,Otros,1,0,1,25.646374,-100.325494
10:52:00,07/07/2018,2018,LAZARO GARZA AYALA,DIEGO SALDIVAR,Atropello,Otros,1,0,1,25.66467,-100.41261
16:42:00,05/06/2018,2018,LIBERTAD,BENITO JUAREZ,Atropello,Otros,1,0,1,25.66492,-100.402441
9:10:00,24/08/2018,2018,LIBERTAD,IGNACIO ALLENDE,Atropello,Distraccion,1,0,1,25.666164,-100.40603
9:56:00,27/04/2017,2017,LIC. VERDAD,JOSE VASCONCELOS,Atropello,Distraccion,1,0,1,25.665421,-100.411854
7:59:00,01/07/2016,2016,LOMAS DEL VALLE,RIO PILON,Atropello,Distraccion,1,0,1,25.644774,-100.380562
15:30,03/04/2015,2015,LOS ALDAMA,16 DE SEPTIEMBRE,Atropello,Distraccion,1,0,1,25.660397,-100.405354
9:19:00,29/08/2016,2016,LOS ALDAMA,JOSE VASCONCELOS,Atropello,Otros,1,0,1,25.662814,-100.404360
8:25:00,29/10/2019,2019,MANUEL DOBLADO,JOSE VASCONCELOS,Atropello,Otros,1,0,1,25.6584071,-100.391993
